Altium Designer Pick and Place Locations
C:\applications\hardware\pca10156\trunk\production_files\400708_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       25.03.25
Time:       12:01
Revision:   37042
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"SW5","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","87.9176","4.5580","180","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"R1","680R","TopLayer","RESC0603X03L_C","99.8479","55.8786","270","Resistor, ±1%, 0.05W"
"R11","1M0","TopLayer","RESC0603X03L_C","102.7964","44.7629","180","Resistor, ±1%, 0.05W"
"R12","1M0","TopLayer","RESC0603X03L_C","78.3361","22.7920","180","Resistor, ±1%, 0.05W"
"R2","680R","TopLayer","RESC0603X03L_C","105.1819","55.8786","270","Resistor, ±1%, 0.05W"
"R10","1M0","TopLayer","RESC0603X03L_C","79.6396","22.7984","0","Resistor, ±1%, 0.05W"
"LD5","L0603G","TopLayer","LED_0603_G","103.4039","55.8786","0","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"LD4","L0603G","TopLayer","LED_0603_G","98.0699","55.8786","0","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"R27","1M0","TopLayer","RESC0603X03L_C","104.0750","44.7629","0","Resistor, ±1%, 0.05W"
"JP1","Shunt 2.54mm","TopLayer","Shunt_2.54mm_Vertical","-148.0883","-174.6130","180","Shunt Jumper 2.54mm Black, open top"
"R18","1M0","TopLayer","RESC0603X03L_C","16.0643","8.9770","90","Resistor, ±1%, 0.05W"
"U2","nRF5340-QKAA","TopLayer","AQFN40P700X700X85_HS-99N","22.2603","15.8644","0","Multi-protocol Bluetooth Low Energy, IEEE 802.15.4, ANT and 2.4GHz proprietary system-on-chip"
"U10","nPM1300-QEAAC0","TopLayer","Nordic_QFN50P500X500X90-33N","20.4418","45.8460","180","Li-Ion/Li-Polymer USB-C battery charger with high efficiency buck regulators, LDOs or load switches, LED drivers, TWI and VBUSOUT"
"U7","TXB0104","TopLayer","QFN12P40_170X200X55L50X20","13.5500","9.7250","270","4-Bit Bidirectional Level-Shifter/Voltage Translator with Automatic Direction Sensing"
"TP10","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","26.3341","48.2600","180","1.5mm circular SMD testpad"
"TP9","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","26.8775","54.9148","270","1.5mm circular SMD testpad"
"SB6","Solderbridge","TopLayer","Solderbridge_0.4","91.9816","38.2618","270","Solderbridge"
"SB5","Solderbridge","TopLayer","Solderbridge_0.4","91.9816","39.8874","90","Solderbridge"
"R26","47k","TopLayer","RESC0603X03L_C","17.9727","49.4682","90","Resistor, ±1%, 0.05W"
"R24","TBD","BottomLayer","RESC1005X04L","27.0990","59.1407","180","Chip Res 0402"
"C52","100nF","TopLayer","CAPC0603X03L_C","40.9500","21.8750","270","Capacitor, X5R, ±10%"
"C26","10µF","TopLayer","CAPC1608X06L","15.0824","46.4556","0","Capacitor, X7T, ±20%, 10V"
"C23","2.2µF","TopLayer","CAPC1005X04L","15.1840","45.3126","0","Capacitor, X5R, ±10%"
"C53","100nF","TopLayer","CAPC0603X03L_C","15.0039","10.4591","270","Capacitor, X5R, ±10%"
"C38","1.4pF","TopLayer","CAPC0603X03L_C","109.8803","35.0800","90","Capacitor, C0G, ±0.05pF, 25V"
"U1","nRF54L15-QFAA","TopLayer","QFN40P600X600X90-48N","98.6053","35.5300","0","Multi-protocol Bluetooth Low Energy, IEEE 802.15.4 and 2.4GHz proprietary Wireless MCU"
"X1","32.768kHz","TopLayer","XTAL_2012","88.7385","39.0680","90","XTAL SMD 2012, 32.768kHz, 9pF, ±20ppm"
"R7","47R","TopLayer","RESC0603X03L_C","27.0603","16.6866","0","Resistor, ±1%, 0.05W"
"C36","100nF","TopLayer","CAPC0603X03L_C","26.9089","18.3760","270","Capacitor, X5R, ±10%"
"C37","100nF","TopLayer","CAPC0603X03L_C","26.0961","20.4588","90","Capacitor, X5R, ±10%"
"C20","100nF","TopLayer","CAPC0603X03L_C","17.6887","13.4992","180","Capacitor, X5R, ±10%"
"C42","4.7µF","TopLayer","CAPC1608X06L","17.2315","21.6272","90","Capacitor, X7S, ±10%, 10V"
"C31","1.0µF","TopLayer","CAPC1005X04L","23.2005","21.4240","90","Capacitor, X5R, ±10%, 6.3V"
"C45","1.0µF","TopLayer","CAPC1005X04L","21.1939","20.8906","0","Capacitor, X5R, ±10%, 6.3V"
"C13","100nF","TopLayer","CAPC0603X03L_C","17.6887","18.4014","180","Capacitor, X5R, ±10%"
"C33","2.2nF","TopLayer","CAPC0603X03L_C","27.4589","18.3760","90","Capacitor, X7R, ±10%, 10V"
"C44","100nF","TopLayer","CAPC0603X03L_C","23.8355","20.1540","0","Capacitor, X5R, ±10%"
"X3","32MHz","TopLayer","BT-XTAL_2016","29.1059","19.7188","90","XTAL SMD 2016, 32MHz, Cl=8pF, Tol: ±10ppm, Stab: ±15ppm"
"C32","1.0µF","TopLayer","CAPC1005X04L","24.9531","20.8398","270","Capacitor, X5R, ±10%, 6.3V"
"C39","1.0µF","TopLayer","CAPC1005X04L","21.6511","21.7542","0","Capacitor, X5R, ±10%, 6.3V"
"C43","4.7µF","TopLayer","CAPC1608X06L","18.3999","21.6272","90","Capacitor, X7S, ±10%, 10V"
"C18","100nF","TopLayer","CAPC0603X03L_C","17.6887","15.6587","180","Capacitor, X5R, ±10%"
"C35","100nF","TopLayer","CAPC0603X03L_C","27.0679","16.0780","0","Capacitor, X5R, ±10%"
"SW2","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","87.9176","14.0576","180","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"P15","Pin Header 2x5, 1.27mm","TopLayer","HDR_2x5-SMD-1.27mm-K","57.9781","4.5000","0","Pin Header 2x5, 1.27mm (50mil), SMD, Keying Shroud"
"LD1","L0603G","TopLayer","LED_0603_G","30.1033","9.6520","180","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"LD3","L0603G","TopLayer","LED_0603_G","103.4039","59.1806","0","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"LD2","L0603G","TopLayer","LED_0603_G","98.0699","59.1806","0","LED, Green, 0603, 573nm, Vf=2.0V, 24mcd, - 40 to +85°C"
"C17","300pF","TopLayer","CAPC1005X04L","88.1036","54.1226","0","Capacitor, C0G, ±5%, 50V"
"C19","300pF","TopLayer","CAPC1005X04L","86.1523","54.1226","0","Capacitor, C0G, ±5%, 50V"
"C46","100nF","TopLayer","CAPC0603X03L_C","10.9500","29.0250","0","Capacitor, X5R, ±10%"
"TP18","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","10.2405","23.1129","180","1.5mm circular SMD testpad"
"TP17","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","10.2405","26.1152","180","1.5mm circular SMD testpad"
"TP16","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","13.2631","23.5712","180","1.5mm circular SMD testpad"
"TP4","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","20.6162","4.1250","180","1.5mm circular SMD testpad"
"TP6","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","26.6162","4.1250","180","1.5mm circular SMD testpad"
"SW1","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","5.3383","14.0970","180","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"SW3","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","98.1792","14.0576","180","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
"R5","560R","TopLayer","RESC0603X03L_C","28.5599","9.6520","90","Resistor, ±1%, 0.05W"
"R19","680R","TopLayer","RESC0603X03L_C","99.8479","59.1806","270","Resistor, ±1%, 0.05W"
"R23","100k","TopLayer","RESC0603X03L_C","14.5000","16.1000","90","Resistor, ±1%, 0.05W"
"R6","100k","TopLayer","RESC0603X03L_C","26.4597","13.2706","270","Resistor, ±1%, 0.05W"
"R20","680R","TopLayer","RESC0603X03L_C","105.1819","59.1806","270","Resistor, ±1%, 0.05W"
"R22","0R","TopLayer","RESC1005X04L","86.6608","52.7040","90","Resistor, ±5%, 0.063W"
"R21","0R","TopLayer","RESC1005X04L","87.6036","52.7040","90","Resistor, ±5%, 0.063W"
"Q1","NX138AKS","TopLayer","TSSOP6","27.4009","24.9832","180","MOSFET 2N-CH 60V 0.17A TSSOP6 (SOT363)"
"Q3","NX138AKS","TopLayer","TSSOP6","103.4000","46.4750","270","MOSFET 2N-CH 60V 0.17A TSSOP6 (SOT363)"
"P0","Pin Hdr 2x10","TopLayer","HDR_2x10-SMD","63.0543","50.8000","0","Pin Header 2x10, 2.54mm (100mil) SMD"
"P1","Pin Hdr 2x10","TopLayer","HDR_2x10-SMD","63.0543","38.1000","0","Pin Header 2x10, 2.54mm (100mil) SMD"
"P19","Pin Header 2x5, 1.27mm","TopLayer","HDR_2x5-SMD-1.27mm-K","15.5043","4.5000","0","Pin Header 2x5, 1.27mm (50mil), SMD, Keying Shroud"
"P16","Pin Header 2x10, 1.27mm","TopLayer","HDR_2x10-SMD-1.27mm-NC","61.1531","4.5000","0","Pin Header 2x10, 1.27mm (50mil), SMD, Keying Shroud"
"P6","Pin List 1x3","TopLayer","LIST_1x3_SMD","28.3718","60.6057","180","Pin List 1x3, 2.54mm (100mil), SMD"
